trace_index,trace_is_fit,fitness,produced_tokens,consumed_tokens,missing_tokens,remaining_tokens
722,True,1.0,28,28,0,0
723,True,1.0,24,24,0,0
724,True,1.0,60,60,0,0
725,True,1.0,48,48,0,0
726,True,1.0,28,28,0,0
727,True,1.0,34,34,0,0
728,True,1.0,32,32,0,0
729,True,1.0,52,52,0,0
730,True,1.0,42,42,0,0
731,True,1.0,80,80,0,0
732,True,1.0,24,24,0,0
733,True,1.0,28,28,0,0
734,True,1.0,34,34,0,0
735,True,1.0,26,26,0,0
736,True,1.0,46,46,0,0
737,True,1.0,24,24,0,0
738,True,1.0,40,40,0,0
739,False,0.9949454642192073,3759,3759,19,19
740,True,1.0,30,30,0,0
741,True,1.0,26,26,0,0
742,True,1.0,30,30,0,0
743,True,1.0,34,34,0,0
744,True,1.0,38,38,0,0
745,True,1.0,22,22,0,0
746,True,1.0,24,24,0,0
747,True,1.0,24,24,0,0
748,True,1.0,26,26,0,0
749,True,1.0,28,28,0,0
750,True,1.0,94,94,0,0
751,True,1.0,28,28,0,0
752,True,1.0,76,76,0,0
753,True,1.0,32,32,0,0
754,True,1.0,30,30,0,0
755,False,0.9917355371900827,121,121,1,1
756,True,1.0,44,44,0,0
757,True,1.0,26,26,0,0
758,True,1.0,26,26,0,0
759,True,1.0,24,24,0,0
760,True,1.0,30,30,0,0
761,True,1.0,32,32,0,0
762,True,1.0,140,140,0,0
763,True,1.0,30,30,0,0
764,True,1.0,24,24,0,0
765,True,1.0,54,54,0,0
766,True,1.0,108,108,0,0
767,True,1.0,34,34,0,0
768,True,1.0,32,32,0,0
769,True,1.0,100,100,0,0
770,True,1.0,28,28,0,0
771,True,1.0,74,74,0,0
772,True,1.0,26,26,0,0
773,False,0.995244271508863,2313,2313,11,11
774,True,1.0,40,40,0,0
775,True,1.0,80,80,0,0
776,True,1.0,24,24,0,0
777,True,1.0,28,28,0,0
778,True,1.0,28,28,0,0
779,True,1.0,28,28,0,0
780,True,1.0,30,30,0,0
781,True,1.0,26,26,0,0
782,True,1.0,50,50,0,0
783,True,1.0,82,82,0,0
784,True,1.0,38,38,0,0
785,True,1.0,24,24,0,0
786,True,1.0,32,32,0,0
787,True,1.0,36,36,0,0
788,True,1.0,38,38,0,0
789,True,1.0,34,34,0,0
790,True,1.0,212,212,0,0
791,True,1.0,116,116,0,0
792,True,1.0,28,28,0,0
793,True,1.0,28,28,0,0
794,True,1.0,26,26,0,0
795,True,1.0,386,386,0,0
796,True,1.0,30,30,0,0
797,True,1.0,34,34,0,0
798,True,1.0,30,30,0,0
799,True,1.0,98,98,0,0
800,False,0.9941733430444283,2746,2746,16,16
801,True,1.0,28,28,0,0
802,True,1.0,24,24,0,0
803,True,1.0,24,24,0,0
804,True,1.0,26,26,0,0
805,True,1.0,24,24,0,0
806,True,1.0,40,40,0,0
807,True,1.0,24,24,0,0
808,True,1.0,34,34,0,0
809,True,1.0,22,22,0,0
810,True,1.0,30,30,0,0
811,True,1.0,28,28,0,0
812,True,1.0,112,112,0,0
813,True,1.0,26,26,0,0
814,True,1.0,178,178,0,0
815,True,1.0,30,30,0,0
816,True,1.0,28,28,0,0
817,True,1.0,26,26,0,0
818,True,1.0,194,194,0,0
819,True,1.0,44,44,0,0
820,True,1.0,36,36,0,0
821,True,1.0,276,276,0,0
822,False,0.991140642303433,1806,1806,16,16
823,False,0.9952874646559849,2122,2122,10,10
824,True,1.0,26,26,0,0
825,True,1.0,144,144,0,0
826,True,1.0,34,34,0,0
827,True,1.0,34,34,0,0
828,True,1.0,26,26,0,0
829,True,1.0,42,42,0,0
830,True,1.0,140,140,0,0
831,True,1.0,54,54,0,0
832,False,0.9923664122137404,524,524,4,4
833,True,1.0,54,54,0,0
834,True,1.0,32,32,0,0
835,True,1.0,28,28,0,0
836,True,1.0,38,38,0,0
837,True,1.0,82,82,0,0
838,True,1.0,108,108,0,0
